FYE,Assumption,6% Constant,Recession,Recurring Recession
2019,0,0,0,0
2020,0,0,0,0
2021,0,0,0,0
2022,0.1656,0.02056362,0.02056362,0.02056362
2023,0.171288139,0.18234121,0.18234121,0.18234121
2024,0.1856,0.19333486,0.20584702,0.20584702
2025,0.1856,0.19032127,0.21689611,0.21689611
2026,0.1856,0.18698,0.22437926,0.22437926
2027,0.1856,0.18167829,0.22674227,0.22674227
2028,0.1856,0.18379407,0.2351894,0.2351894
2029,0.1856,0.18584822,0.23190859,0.23190859
2030,0.1856,0.1879563,0.23038351,0.23038351
2031,0.1856,0.1901182,0.23055872,0.23055872
2032,0.1856,0.19233375,0.23239151,0.23239151
2033,0.1856,0.19460381,0.23430271,0.23430271
2034,0.1856,0.19693012,0.23629433,0.23629433
2035,0.1856,0.19931516,0.2383682,0.2383682
2036,0.1856,0.20176152,0.2405263,0.2405263
2037,0.1756,0.20427183,0.24277125,0.24277125
2038,0.1656,0.20684909,0.24510642,0.24510642
2039,0.1556,0.20949637,0.24753536,0.26369255
2040,0.13736889,0.21221695,0.25006188,0.28426607
2041,0.135891432,0.21501428,0.25268998,0.30057183
2042,0.135674972,0.21789201,0.25542392,0.31266691
2043,0.007222064,0.061222,0.09863617,0.16349948
2044,0.007222064,0.06008361,0.08489463,0.14236474
2045,0.007222064,0.06618189,0.07686667,0.12928903
2046,0.007222064,0.07272445,0.07254914,0.12222739
2047,0.007222064,0.08130148,0.07345125,0.12266089
2048,0.007222064,0.08252428,0.0683522,0.11712357
2049,0.007222064,0.08385691,0.0750436,0.12340703
2050,0.007222064,0.08519963,0.08004962,0.12803439
2051,0.007222064,0.08657186,0.08343804,0.13107252
2052,0.007222064,0.08799392,0.08526811,0.13258058
