FYE,Assumption,Model,Recession,Recurring Recession
2019,0,0,0,0
2020,0,0,0,0
2021,0.02054886688965255,0.02054886688965255,0.02054886688965255,0.02054886688965255
2022,0.1569330660535275,0.1569330660535275,0.1569330660535275,0.1569330660535275
2023,0.17010423821455106,0.17038101959512347,0.1786546381402841,0.1786546381402841
2024,0.177156784075773,0.1780715618087321,0.19608166229441149,0.19608166229441149
2025,0.18516438975636243,0.1870825423933102,0.21314640907749188,0.21314640907749188
2026,0.2019308375955149,0.1970858750306676,0.22951687428102308,0.22951687428102308
2027,0.20937882599106128,0.21854222601320258,0.2446906629809956,0.2446906629809956
2028,0.20864637249769855,0.2194555334331491,0.25797187999681626,0.25797187999681626
2029,0.20795205125803343,0.22048543823401262,0.25630090962021185,0.25630090962021185
2030,0.20729329244371833,0.22158954828362357,0.25597686324192925,0.25597686324192925
2031,0.20666732955774372,0.2227711603794702,0.2568920514635036,0.2568920514635036
2032,0.2060715193098462,0.22403260270945294,0.2579046602224463,0.2579046602224463
2033,0.20550341600405184,0.2253752527446329,0.2590163943145525,0.2590163943145525
2034,0.20496057393851044,0.22679946982147195,0.26022712685291455,0.26022712685291455
2035,0.2044408730923548,0.22830556183498293,0.26153666792490676,0.26153666792490676
2036,0.2039422379919944,0.22989403965139296,0.2629455126122096,0.2629455126122096
2037,0.2034625953183135,0.2315655760678619,0.2644545712364522,0.2644545712364522
2038,0.20300016330391737,0.23332129814433158,0.26606529880797447,0.278415442330543
2039,0.20255317105575166,0.23516251586782785,0.2677793562031134,0.2938115266649443
2040,0.2021199410041201,0.2370908113497908,0.26959869996096286,0.3058389783473387
2041,0.2057722378458824,0.23910803838005637,0.27152558254104175,0.3145360282665628
2042,0.051677079792055824,0.08345820112097094,0.11580443187036081,0.1642393204848108
2043,0.04334388711366523,0.07739360154117418,0.10016078490323388,0.13865186159298637
2044,0.04334392592753447,0.07934331160969935,0.09152777283357234,0.12194528481488601
2045,0.0435447082726176,0.08120546838753664,0.0853543702874658,0.10952360270100502
2046,0.044580719383105046,0.08361712110077466,0.08213665609164944,0.10186411972092643
2047,0.04857065097794972,0.08869620625324325,0.08260618146544886,0.09789901157525287
2048,0.05265164403586688,0.09387629579393414,0.09174284427753701,0.10260808317978415
2049,0.056787577316893455,0.09901930543536086,0.09962224468887,0.10606615353496722
2050,0.06098244968570622,0.10417518797155571,0.10624124395834186,0.10826946407905239
2051,0.06524036367356575,0.10935047024040394,0.11171479823249728,0.10933299351110554
