FYE,Assumption,6% Constant,Recession,Recurring Recession
2019,23199.891,23199.891,23199.891,23199.89
2020,25768.827,25768.827,25768.827,25768.83
2021,21507.689,21507.689,21507.689,21507.69
2022,22966.253,23298.524,33525.331,33525.33
2023,22267.671,22954.587,32360.387,32360.39
2024,21321.461,22387.711,30861.217,30861.22
2025,20321.704,21794.282,29080.993,29080.99
2026,19265.908,21173.26,28476.221,28476.22
2027,18151.461,20523.561,28094.357,28094.36
2028,16975.627,19844.057,27692.511,27692.51
2029,15735.539,19133.572,27142.708,27142.71
2030,14428.196,18390.884,26438.317,26438.32
2031,13050.466,17614.733,25957.304,25957.3
2032,11599.046,16803.787,25452.321,25452.32
2033,10070.503,15956.686,24922.403,24922.4
2034,8461.231,15072.007,24366.54,24366.54
2035,6767.433,14148.247,23783.655,23783.66
2036,4985.172,13183.881,23172.666,23172.67
2037,3242.63,12177.309,22532.43,34529.51
2038,1542.786,11126.868,21861.762,32890.94
2039,0,10030.833,21159.427,31091.03
2040,0,8887.407,20424.141,29116.28
2041,0,7695.75,19655.591,28532.48
2042,0,6589.963,18853.8,27786.99
2043,0,5576.061,18019.229,27280.04
2044,0,4660.603,17152.672,26753.12
2045,0,3850.736,16255.293,26207.84
2046,0,3154.282,15328.701,25646.25
2047,0,2579.604,14374.811,25070.76
2048,0,2135.689,13395.921,24484.14
2049,0,1832.118,12394.663,23889.54
2050,0,1679.051,11373.993,23290.44
2051,0,1687.224,10337.163,22690.64
2052,0,1868.554,9288.328,22094.87
